edge_id,node_index,source_node_id,pos_x,pos_y,is_stop_only
S_-83299779#0,20590,969209334,5600.23,5091.05,False
E_-83299779#0,20591,703495342,5579.8,5088.7,False
S_-83299779#1,20592,cluster_703495348_969209320,5599.02,5139.87,False
E_-83299779#1,20593,969209334,5600.23,5091.05,False
S_-83299780#0,20594,969209349,5617.55,5100.12,False
E_-83299780#0,20595,cluster_703495349_969209309,5616.46,5141.55,False
S_-83299780#1,20596,969209323,5636.45,5101.97,False
E_-83299780#1,20597,969209349,5617.55,5100.12,False
S_-83299780#2,20598,703495351,5650.77,5144.85,False
E_-83299780#2,20599,969209323,5636.45,5101.97,False
S_-83299783#0,20600,969209351,5726.35,5152.13,False
E_-83299783#0,20601,969209350,5730.48,5116.56,False
S_-83299783#1,20602,969209318,5718.41,5246.66,False
E_-83299783#1,20603,969209351,5726.35,5152.13,False
S_-83299784,20604,cluster_703495350_969209281,5634.07,5143.25,False
E_-83299784,20605,969209323,5636.45,5101.97,False
S_-83299788#0,20606,703495343,5560.52,5084.0,False
E_-83299788#0,20607,703495340,5544.44,5082.44,False
S_-83299788#1,20608,703495340,5544.44,5082.44,False
E_-83299788#1,20609,703495343,5560.52,5084.0,False
S_-83299788#2,20610,703495345,5556.59,5135.78,False
E_-83299788#2,20611,703495340,5544.44,5082.44,False
S_-83299788#3,20612,cluster_289881755_289881758_703495347,5575.23,5137.57,False
E_-83299788#3,20613,703495345,5556.59,5135.78,False
S_-83299790#0,20614,969209310,5690.17,5148.64,False
E_-83299790#0,20615,969209294,5693.9,5113.04,False
S_-83299790#1,20616,969209258,5683.16,5243.16,False
E_-83299790#1,20617,969209310,5690.17,5148.64,False
S_-83304164,20618,969256207,5062.18,4697.7,False
E_-83304164,20619,331141709,5072.49,4749.31,False
S_-83304166#0,20620,969256284,5043.39,4830.91,False
E_-83304166#0,20621,267408940,5044.93,4843.26,False
S_-83304166#1,20622,969256236,5038.56,4822.6,False
E_-83304166#1,20623,969256284,5043.39,4830.91,False
S_-83304167,20624,969256283,5080.65,4726.74,False
E_-83304167,20625,331141708,5083.35,4743.83,False
S_-83304169,20626,969256287,5096.43,4745.06,False
E_-83304169,20627,969256276,5128.58,4766.63,False
S_-83304175#0,20628,331141712,5094.69,4841.52,False
E_-83304175#0,20629,cluster_309330762_969256295,5172.44,4800.3,False
S_-83304175#1,20630,267408940,5044.93,4843.26,False
E_-83304175#1,20631,331141712,5094.69,4841.52,False
S_-83304175#2,20632,1833941877,4973.6,4869.37,False
E_-83304175#2,20633,267408940,5044.93,4843.26,False
S_-83304180#0,20634,331141708,5083.35,4743.83,False
E_-83304180#0,20635,969256287,5096.43,4745.06,False
S_-83304180#1,20636,331141709,5072.49,4749.31,False
E_-83304180#1,20637,331141708,5083.35,4743.83,False
S_-83304180#2,20638,969256291,5081.76,4822.76,False
E_-83304180#2,20639,331141709,5072.49,4749.31,False
S_-83304180#3,20640,331141712,5094.69,4841.52,False
E_-83304180#3,20641,969256291,5081.76,4822.76,False
S_-833439669,20642,7780216267,6784.32,1933.4,False
E_-833439669,20643,7780216263,6804.14,1980.43,False
S_-83808285#1,20644,975729506,6589.11,2187.7,False
E_-83808285#1,20645,975729486,6551.29,2176.72,False
S_-83808285#2,20646,cluster_466244469_7629259421,6719.8,2219.01,False
E_-83808285#2,20647,975729506,6589.11,2187.7,False
S_-83808288,20648,1496557400,6559.58,2373.27,False
E_-83808288,20649,975729505,6556.82,2398.93,False
S_-83808292#0,20650,975729505,6556.82,2398.93,False
E_-83808292#0,20651,gneJ138,6557.09,2414.73,False
S_-83808292#1,20652,975729491,6592.51,2409.04,False
E_-83808292#1,20653,975729505,6556.82,2398.93,False
S_-83828118#0,20654,6751015438,7773.35,3974.71,False
E_-83828118#0,20655,637987300,7748.99,3983.91,False
S_-83828118#1,20656,637987305,7847.54,3913.76,False
E_-83828118#1,20657,6751015438,7773.35,3974.71,False
S_-83828118#2,20658,771598688,8093.67,3695.03,False
E_-83828118#2,20659,637987305,7847.54,3913.76,False
S_-85404276,20660,969209334,5600.23,5091.05,False
E_-85404276,20661,969209349,5617.55,5100.12,False
S_-87288526#0,20662,1014912232,9627.66,4780.17,False
E_-87288526#0,20663,1014912398,9602.96,4850.68,False
S_-87288526#1,20664,1014912273,9634.63,4747.25,False
E_-87288526#1,20665,1014912232,9627.66,4780.17,False
S_-87288529,20666,1014912412,10139.96,4457.49,False
E_-87288529,20667,1014912275,10101.67,4577.24,False
S_-88888406,20668,cluster_1031765029_271678812_913688004,5857.16,4818.54,False
E_-88888406,20669,1031765830,5850.18,4830.01,False
S_-88903261,20670,1031989182,5748.26,5067.91,False
E_-88903261,20671,1031989285,5749.8,5026.12,False
S_-88903294#1,20672,1031989182,5748.26,5067.91,False
E_-88903294#1,20673,cluster_1031987712_1031988694,5772.54,5062.68,False
S_-88903294#2,20674,1031989319,5731.05,5071.78,False
E_-88903294#2,20675,1031989182,5748.26,5067.91,False
S_-88903294#3,20676,1031987904,5716.39,5023.66,False
E_-88903294#3,20677,1031989319,5731.05,5071.78,False
S_-88903294#4,20678,1031988198,5734.49,5024.89,False
E_-88903294#4,20679,1031987904,5716.39,5023.66,False
S_-88903294#5,20680,1031989285,5749.8,5026.12,False
E_-88903294#5,20681,1031988198,5734.49,5024.89,False
S_-88903294#6,20682,1833965739,5761.86,5027.0,False
E_-88903294#6,20683,1031989285,5749.8,5026.12,False
S_-88903294#7,20684,1031988722,5768.3,5028.35,False
E_-88903294#7,20685,1833965739,5761.86,5027.0,False
S_-88903294#8,20686,1031988173,5790.91,5029.53,False
E_-88903294#8,20687,1031988722,5768.3,5028.35,False
S_-88903294#9,20688,cluster_1031987712_1031988694,5772.54,5062.68,False
E_-88903294#9,20689,1031988173,5790.91,5029.53,False
S_-88903299,20690,cluster_1031987712_1031988694,5772.54,5062.68,False
E_-88903299,20691,cluster_1031989147_271886070_362632993_4400462984,5775.11,5086.27,False
S_-88903325,20692,cluster_1031987712_1031988694,5772.54,5062.68,False
E_-88903325,20693,1031988722,5768.3,5028.35,False
S_-88903339#0,20694,969209289,5747.63,5118.22,False
E_-88903339#0,20695,969209335,5769.04,5120.28,False
S_-88903339#1,20696,969209350,5730.48,5116.56,False
E_-88903339#1,20697,969209289,5747.63,5118.22,False
S_-88903339#2,20698,969209266,5711.8,5114.76,False
E_-88903339#2,20699,969209350,5730.48,5116.56,False
S_-88903339#3,20700,969209294,5693.9,5113.04,False
E_-88903339#3,20701,969209266,5711.8,5114.76,False
S_-88903339#4,20702,969209284,5680.77,5111.77,False
E_-88903339#4,20703,969209294,5693.9,5113.04,False
S_-90587320,20704,cluster_2118006980_2118006981_2362726802_336359523,7021.1,4783.22,False
E_-90587320,20705,cluster_2349345652_2362726797_274526633_310438755_529816868,6961.34,4680.07,False
S_-91854588,20706,cluster_1067415609_5887396689,9581.57,2735.62,False
E_-91854588,20707,cluster_2117911021_3411470996,9599.74,2674.99,False
S_-91854598#0,20708,5093235254,8590.95,3524.53,False
E_-91854598#0,20709,860503140,8575.8,3486.22,False
S_-91854598#1,20710,1067415551,8596.22,3456.02,False
E_-91854598#1,20711,5093235254,8590.95,3524.53,False
S_-91854601#0,20712,cluster_2117911021_3411470996,9599.74,2674.99,False
E_-91854601#0,20713,289710273,9501.34,2710.35,False
S_-91854601#2,20714,3411471004,9617.67,2684.88,False
E_-91854601#2,20715,cluster_2117911021_3411470996,9599.74,2674.99,False
S_-91854601#3,20716,cluster_289710278_3450556284,9635.35,2691.98,False
E_-91854601#3,20717,3411471004,9617.67,2684.88,False
S_-91854602,20718,cluster_1067415642_5887396690,9599.0,2741.15,False
E_-91854602,20719,3411471004,9617.67,2684.88,False
S_-91854606,20720,cluster_1067415644_7238397471,9452.99,2159.1,False
E_-91854606,20721,1067415616,9466.58,2196.19,False
S_-92026755#0,20722,1069056128,8937.56,4246.26,False
E_-92026755#0,20723,1069056901,9028.2,4222.36,False
S_-92026755#1,20724,1069056306,8864.54,4215.62,False
E_-92026755#1,20725,1069056128,8937.56,4246.26,False
S_-92026755#2,20726,1069056558,8885.01,4258.7,False
E_-92026755#2,20727,1069056306,8864.54,4215.62,False
S_-92026755#3,20728,1069056128,8937.56,4246.26,False
E_-92026755#3,20729,1069056558,8885.01,4258.7,False
S_-92026756#0,20730,1069056459,8961.85,4102.63,False
E_-92026756#0,20731,389942196,8982.66,4156.77,False
S_-92026756#1,20732,1069056658,8929.67,4119.63,False
E_-92026756#1,20733,1069056459,8961.85,4102.63,False
S_-92026756#2,20734,1069056498,8923.55,4156.65,False
E_-92026756#2,20735,1069056658,8929.67,4119.63,False
S_-92026756#3,20736,1069056776,8933.96,4187.3,False
E_-92026756#3,20737,1069056498,8923.55,4156.65,False
S_-92026758#0,20738,1069056634,8846.31,4268.87,False
E_-92026758#0,20739,1069056558,8885.01,4258.7,False
S_-92026758#1,20740,1069056550,8818.09,4269.71,False
E_-92026758#1,20741,1069056634,8846.31,4268.87,False
S_-92026760,20742,389943228,8643.81,4257.28,False
E_-92026760,20743,1069056046,8448.19,4271.74,False
S_-92026761,20744,1069056658,8929.67,4119.63,False
E_-92026761,20745,1069056459,8961.85,4102.63,False
S_-92026762,20746,1069056498,8923.55,4156.65,False
E_-92026762,20747,1069056176,8802.28,4226.73,False
S_-92026764,20748,1069056634,8846.31,4268.87,False
E_-92026764,20749,1069056306,8864.54,4215.62,False
S_-92026767,20750,1069056713,9450.5,4051.44,False
E_-92026767,20751,1069056218,9459.56,4033.9,False
S_-92026768#0,20752,1069056071,9451.16,3907.9,False
E_-92026768#0,20753,1069056611,9295.85,4027.38,False
S_-92026768#1,20754,1069056116,9614.98,3997.18,False
E_-92026768#1,20755,1069056071,9451.16,3907.9,False
S_-92026768#2,20756,1069056761,9506.97,4028.03,False
E_-92026768#2,20757,1069056116,9614.98,3997.18,False
S_-92026768#3,20758,1069056218,9459.56,4033.9,False
E_-92026768#3,20759,1069056761,9506.97,4028.03,False
S_-92026768#4,20760,389942207,9428.3,4037.04,False
E_-92026768#4,20761,1069056218,9459.56,4033.9,False
S_-92026769#0,20762,320714145,7896.9,4741.12,False
E_-92026769#0,20763,279263506,7989.64,4728.4,False
S_-92026769#1,20764,2421971317,7807.08,4749.78,False
E_-92026769#1,20765,320714145,7896.9,4741.12,False
S_-92026769#11,20766,279484758,7392.65,4705.87,False
E_-92026769#11,20767,cluster_2531132112_2531132115,7426.9,4701.82,False
S_-92026769#12,20768,279484769,7289.34,4729.68,False
E_-92026769#12,20769,279484758,7392.65,4705.87,False
S_-92026769#2,20770,279484757,7754.73,4748.12,False
E_-92026769#2,20771,2421971317,7807.08,4749.78,False
S_-92026769#3,20772,279299795,7614.54,4724.41,False
E_-92026769#3,20773,279484757,7754.73,4748.12,False
S_-92026769#4,20774,2531132150,7591.67,4719.44,False
E_-92026769#4,20775,279299795,7614.54,4724.41,False
S_-92026769#5,20776,279484763,7570.92,4715.17,False
E_-92026769#5,20777,2531132150,7591.67,4719.44,False
S_-92026769#6,20778,2531132120,7533.71,4707.94,False
E_-92026769#6,20779,279484763,7570.92,4715.17,False
S_-92026769#7,20780,2531132108,7499.55,4702.17,False
E_-92026769#7,20781,2531132120,7533.71,4707.94,False
S_-92026769#8,20782,274635453,7465.21,4700.07,False
E_-92026769#8,20783,2531132108,7499.55,4702.17,False
S_-92026769#9,20784,cluster_2531132112_2531132115,7426.9,4701.82,False
E_-92026769#9,20785,274635453,7465.21,4700.07,False
S_-93112169#0,20786,4370465341,5650.66,3628.31,False
E_-93112169#0,20787,1079366412,5629.43,3657.99,False
S_-93112169#1,20788,1079366342,5658.96,3609.92,False
E_-93112169#1,20789,4370465341,5650.66,3628.31,False
S_-93112169#2,20790,4370465339,5642.52,3598.77,False
E_-93112169#2,20791,1079366342,5658.96,3609.92,False
S_-93112169#3,20792,1079366285,5555.22,3546.99,False
E_-93112169#3,20793,4370465339,5642.52,3598.77,False
S_-93128023#0,20794,253870941,3408.9,3667.66,False
E_-93128023#0,20795,307624677,3520.05,3702.67,False
S_-93386922,20796,1082831889,3857.99,4756.36,False
E_-93386922,20797,356700147,3794.41,4776.07,False
S_-9636193#0,20798,2724934680,6204.38,5632.83,False
E_-9636193#0,20799,75222590,6091.16,5792.83,False
S_-9636193#1,20800,465242792,6362.34,5408.9,False
E_-9636193#1,20801,2724934680,6204.38,5632.83,False
S_-9636193#2,20802,75222568,6441.49,5297.05,False
E_-9636193#2,20803,465242792,6362.34,5408.9,False
S_-97304242#1,20804,269956779,7317.09,6076.6,False
E_-97304242#1,20805,cluster_271273943_339223426,7313.61,6035.71,False
S_-97304242#10,20806,276184170,7430.17,6624.81,False
E_-97304242#10,20807,304835906,7424.08,6607.24,False
S_-97304242#11,20808,272511906,7437.01,6644.41,False
E_-97304242#11,20809,276184170,7430.17,6624.81,False
S_-97304242#12,20810,316011114,7442.13,6659.58,False
E_-97304242#12,20811,272511906,7437.01,6644.41,False
S_-97304242#13,20812,478067718,7453.4,6749.43,False
E_-97304242#13,20813,316011114,7442.13,6659.58,False
S_-97304242#2,20814,2252637988,7318.44,6160.93,False
E_-97304242#2,20815,269956779,7317.09,6076.6,False
S_-97304242#3,20816,308992842,7333.06,6208.76,False
E_-97304242#3,20817,2252637988,7318.44,6160.93,False
S_-97304242#4,20818,cluster_1507612745_249721584,7364.82,6286.42,False
E_-97304242#4,20819,308992842,7333.06,6208.76,False
S_-97304242#6,20820,cluster_308992324_308992384,7387.98,6460.14,False
E_-97304242#6,20821,cluster_1507612745_249721584,7364.82,6286.42,False
S_-97304242#8,20822,249721583,7400.53,6532.13,False
E_-97304242#8,20823,cluster_308992324_308992384,7387.98,6460.14,False
S_-97304242#9,20824,304835906,7424.08,6607.24,False
E_-97304242#9,20825,249721583,7400.53,6532.13,False
S_-98323000#0,20826,1137585381,3659.7,6493.74,False
E_-98323000#0,20827,283354698,3658.85,6478.59,False
S_-98323000#1,20828,1137585397,3569.8,6674.94,False
E_-98323000#1,20829,1137585381,3659.7,6493.74,False
S_-98323000#2,20830,1137585376,3482.92,6844.31,False
E_-98323000#2,20831,1137585397,3569.8,6674.94,False
S_-98323002#0,20832,6681347661,3723.09,6744.51,False
E_-98323002#0,20833,1137585359,3728.79,6747.06,False
S_-98323002#1,20834,3405321176,3715.75,6741.23,False
E_-98323002#1,20835,6681347661,3723.09,6744.51,False
S_-98323002#2,20836,1565386226,3696.0,6732.38,False
E_-98323002#2,20837,3405321176,3715.75,6741.23,False
S_-98323002#3,20838,2130989453,3593.74,6685.62,False
